virus_key;Virus;Temperature;log10D;HR;Fomites
MERS;MERS;56;-0,997562884;100;liquid
MERS;MERS;65;-2,410270964;100;liquid
SARSb;SARS-CoV;56;-1,358131851;100;liquid
SARSb;SARS-CoV;65;-1,964848769;100;liquid
SARSa;SARS-CoV;56;-1,031812271;100;liquid
SARSa;SARS-CoV;56;-0,720985744;100;liquid
SARSa;SARS-CoV;23;2,139879086;100;liquid
SARSa;SARS-CoV;23;2,216033878;100;liquid
TGEVa1;TGEV;31;2,075730337;100;liquid
TGEVa1;TGEV;35;1,806321724;100;liquid
TGEVa1;TGEV;39;1,395327234;100;liquid
TGEVa1;TGEV;43;1,108255846;100;liquid
TGEVa1;TGEV;47;0,699003567;100;liquid
TGEVa1;TGEV;51;0,014562556;100;liquid
TGEVa1;TGEV;55;-0,450795685;100;liquid
TGEVa2;TGEV;35;1,389446537;100;liquid
TGEVa2;TGEV;39;1,04781402;100;liquid
TGEVa2;TGEV;43;0,833014964;100;liquid
TGEVa2;TGEV;47;0,491343637;100;liquid
TGEVa2;TGEV;51;-0,190484347;100;liquid
TGEVb1;TGEV;20;2,490539484;20;surface
TGEVb1;TGEV;40;1,448587971;20;surface
TGEVb2;TGEV;4;2,622868248;50;surface
TGEVb2;TGEV;20;1,573283802;50;surface
TGEVb2;TGEV;40;0,329935383;50;surface
TGEVb3;TGEV;4;2,361030749;80;surface
TGEVb3;TGEV;20;2,02924014;80;surface
TGEVb3;TGEV;40;0,537034981;80;surface
MHVb1;MHV;20;2,621414435;20;surface
MHVb1;MHV;40;1,431515792;20;surface
MHVb2;MHV;4;2,335688026;50;surface
MHVb2;MHV;20;1,602858969;50;surface
MHVb2;MHV;40;0,781765574;50;surface
MHVb3;MHV;4;2,464326332;80;surface
MHVb3;MHV;20;1,69020498;80;surface
MHVb3;MHV;40;0,199367288;80;surface
SARSCoV2;SARS-CoV-2;4;2,80806001;100;liquid
SARSCoV2;SARS-CoV-2;22;1,741689299;100;liquid
SARSCoV2;SARS-CoV-2;37;0,838442592;100;liquid
SARSCoV2;SARS-CoV-2;56;-1,2755714;100;liquid
SARSCoV2;SARS-CoV-2;22;1,657660376;65;surface
SARSCoV2;SARS-CoV-2;22;1,429149165;65;surface
TGEVc1;TGEV;25;2,415378453;100;liquid
TGEVc2;TGEV;25;2,079207704;100;liquid
MHVa1;MHV;25;2,32619302;100;liquid
MHVa2;MHV;25;2,106010812;100;liquid
HCoVa1;HCoV;33;0,742259809;100;liquid
HCoVa1;HCoV;37;0,691647693;100;liquid
HCoVa2;HCoV;33;1,266182987;100;liquid
HCoVa2;HCoV;37;1,094284632;100;liquid
MERSb1;MERS;20;1,23319369;40;surface
MERSb1;MERS;30;1,040960655;30;surface
MERSb1;MERS;30;1,016057678;80;surface
MERSb2;MERS;20;1,207704682;40;surface
MERSb2;MERS;30;1,038157457;30;surface
MERSb2;MERS;30;1,024884534;80;surface
SARSc1;SARS-CoV;28;1,444984617;95;surface
SARSc1;SARS-CoV;33;1,380265825;95;surface
SARSc1;SARS-CoV;38;0,839349799;95;surface
SARSc2;SARS-CoV;33;1,434673528;85;surface
SARSc2;SARS-CoV;38;1,066039799;85;surface
SARSd1;SARS-CoV;20;1,655738785;100;liquid
SARSd2;SARS-CoV;20;1,551655233;100;liquid
SARSd2;SARS-CoV;20;1,575502125;100;liquid
SARSd2;SARS-CoV;20;1,41410852;100;liquid
SARSd2;SARS-CoV;4;2,299415402;100;liquid
MHVc1;MHV;60;-1,537819095;100;liquid
MHVc2;MHV;60;-2,236033147;100;liquid
CCV;CCV;60;-1,43548033;100;liquid
SARSCoV2b;SARS-CoV-2;22;1,350664298;40;surface
SARSCoV2b;SARS-CoV-2;22;1,383266403;40;surface
SARSe;SARS-CoV;22;1,228517928;40;surface
SARSe;SARS-CoV;22;1,420868223;40;surface
HCoVc;HCoV;21;1,854931014;35;surface
HCoVc;HCoV;21;1,766406205;35;surface
HCoVc;HCoV;21;1,729764366;35;surface
HCoVc;HCoV;21;1,60814811;35;surface
HCoVc;HCoV;21;1,821393419;35;surface
HCoVc;HCoV;21;1,695723034;35;surface
HCoVd;HCoV;23;1,782041932;100;liquid
HCoVd;HCoV;23;1,793634808;100;liquid
FIPV;FIPV;54;-0,95420456;100;liquid
SARSf;SARS-CoV;58;-0,95982686;100;liquid
SARSf;SARS-CoV;68;-1,378635907;100;liquid
SARSf;SARS-CoV;22;2,437553127;17;surface
FIPVb;FIPV;23;1,827611476;100;liquid
HCoVe;HCoV;23;1,645295571;100;liquid
MHVd;MHV;25;1,231719785;100;liquid
HCoVf;HCoV;22;1,778604857;100;liquid
HCoVf;HCoV;33;1,755819641;100;liquid
HCoVf;HCoV;37;1,42714728;100;liquid
PEDVa;PEDV;50;-0,043787515;100;liquid
PEDVb;PEDV;40;0,209044355;100;liquid
PEDVb;PEDV;44;0,084847896;100;liquid
PEDVb;PEDV;48;-0,395320839;100;liquid
PEDVc;PEDV;48;-1,027152246;100;liquid
SARSg;SARS-CoV;56;-1,811193157;100;liquid
BCoV;BCoV;4;2,272112845;100;liquid
BCoV;BCoV;4;2,827280778;100;liquid
SARSCoV2c;SARS-CoV-2;56;-1,606811147;100;liquid
SARSCoV2c;SARS-CoV-2;65;-1,319730494;100;liquid
SARSCoV2c;SARS-CoV-2;56;-1,338057875;100;liquid
