virus_key;Virus;Temperature;log10D;HR;Fomites;label
TGEVb1;TGEV;20;2,490539484;20;surface;2,5
TGEVb1;TGEV;40;1,448587971;20;surface;1,4
TGEVb2;TGEV;4;2,622868248;50;surface;2,6
TGEVb2;TGEV;20;1,573283802;50;surface;1,6
TGEVb2;TGEV;40;0,329935383;50;surface;0,3
TGEVb3;TGEV;4;2,361030749;80;surface;2,4
TGEVb3;TGEV;20;2,02924014;80;surface;2
TGEVb3;TGEV;40;0,537034981;80;surface;0,5
MHVb1;MHV;20;2,621414435;20;surface;2,6
MHVb1;MHV;40;1,431515792;20;surface;1,4
MHVb2;MHV;4;2,335688026;50;surface;2,3
MHVb2;MHV;20;1,602858969;50;surface;1,6
MHVb2;MHV;40;0,781765574;50;surface;0,8
MHVb3;MHV;4;2,464326332;80;surface;2,5
MHVb3;MHV;20;1,69020498;80;surface;1,7
MHVb3;MHV;40;0,199367288;80;surface;0,2
SARSCoV2;SARS-CoV-2;22;1,657660376;65;surface;1,7
SARSCoV2;SARS-CoV-2;22;1,429149165;65;surface;1,4
MERSb1;MERS;20;1,23319369;40;surface;1,2
MERSb1;MERS;30;1,040960655;30;surface;1
MERSb1;MERS;30;1,016057678;80;surface;1
MERSb2;MERS;20;1,207704682;40;surface;1,2
MERSb2;MERS;30;1,038157457;30;surface;1
MERSb2;MERS;30;1,024884534;80;surface;1
SARSc1;SARS-CoV;28;1,444984617;95;surface;1,4
SARSc1;SARS-CoV;33;1,380265825;95;surface;1,4
SARSc1;SARS-CoV;38;0,839349799;95;surface;0,8
SARSc2;SARS-CoV;33;1,434673528;85;surface;1,4
SARSc2;SARS-CoV;38;1,066039799;85;surface;1,1
SARSCoV2b;SARS-CoV-2;22;1,350664298;40;surface;1,4
SARSCoV2b;SARS-CoV-2;22;1,383266403;40;surface;1,4
SARSe;SARS-CoV;22;1,228517928;40;surface;1,2
SARSe;SARS-CoV;22;1,420868223;40;surface;1,4
HCoVc;HCoV;21;1,854931014;35;surface;1,9
HCoVc;HCoV;21;1,766406205;35;surface;1,8
HCoVc;HCoV;21;1,729764366;35;surface;1,7
HCoVc;HCoV;21;1,60814811;35;surface;1,6
HCoVc;HCoV;21;1,821393419;35;surface;1,8
HCoVc;HCoV;21;1,695723034;35;surface;1,7
SARSf;SARS-CoV;22;2,437553127;17;surface;2,4
